Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"13,412","12,815","11,849","13,180","14,843","17,549","16,350","17,397","20,948","24,568","25,378","26,123","26,743"
Expenses+,"11,524","10,876","9,840","11,313","13,175","15,573","14,392","14,579","18,353","21,235","20,909","22,528","23,070"
Operating Profit,"1,888","1,939","2,008","1,867","1,668","1,976","1,958","2,818","2,595","3,333","4,468","3,595","3,673"
OPM %,14%,15%,17%,14%,11%,11%,12%,16%,12%,14%,18%,14%,14%
Other Income+,48,-31,110,148,114,-77,24,-478,118,64,77,-80,-588
Interest,293,189,101,118,177,199,300,463,465,551,527,470,422
Depreciation,411,388,427,462,593,813,"1,138","1,315","1,400","1,419","1,478","1,498","1,514"
Profit before tax,"1,232","1,331","1,591","1,436","1,012",888,543,561,848,"1,427","2,540","1,547","1,149"
Tax %,18%,27%,29%,23%,28%,23%,12%,38%,25%,27%,32%,28%,
Net Profit+,"1,005",978,"1,123","1,099",724,680,476,350,639,"1,046","1,722","1,121",793
EPS in Rs,19.94,19.21,22.06,21.59,12.65,11.88,8.33,5.51,10.06,16.47,27.11,17.66,12.48
Dividend Payout %,4%,10%,9%,14%,24%,27%,36%,63%,32%,27%,22%,28%,
