Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,350","1,773","2,522","3,300","3,922","5,096","5,403"
Expenses+,"1,326","1,758","2,498","3,236","3,810","4,924","5,211"
Operating Profit,23,15,24,64,112,172,191
OPM %,2%,1%,1%,2%,3%,3%,4%
Other Income+,5,11,4,6,14,39,32
Interest,13,20,29,49,66,42,43
Depreciation,12,16,20,24,25,31,33
Profit before tax,4,-11,-20,-4,36,139,148
Tax %,67%,42%,49%,201%,-12%,23%,
Net Profit+,1,-15,-29,-11,40,107,117
EPS in Rs,93.81,"-1,550.90",-77.71,-28.12,8.99,21.80,23.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,
