Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,834,731,683,702,740,719,765,791,842,803,818,819,926
Expenses+,751,671,628,642,649,650,688,736,783,758,752,771,861
Operating Profit,83,60,55,61,91,68,77,55,59,44,67,48,66
OPM %,10%,8%,8%,9%,12%,10%,10%,7%,7%,6%,8%,6%,7%
Other Income+,1,0,6,3,-1,2,-6,-0,3,-5,-3,20,0
Interest,9,10,11,12,10,10,13,13,13,14,14,14,12
Depreciation,23,24,23,24,26,27,28,29,31,32,37,34,36
Profit before tax,52,26,27,28,54,33,31,12,18,-6,12,20,18
Tax %,26%,24%,16%,25%,28%,28%,22%,44%,43%,8%,22%,36%,40%
Net Profit+,38,20,22,21,39,24,24,7,10,-6,10,13,11
EPS in Rs,49.91,25.56,29.21,27.36,51.09,31.47,31.06,8.72,13.46,-7.80,12.52,16.82,14.51
Raw PDF,,,,,,,,,,,,,
