Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,14,14,4,2,2,0,0,0,0,0,0,0,0
Expenses+,17,21,11,10,7,6,5,2,2,3,4,2,3
Operating Profit,-3,-7,-7,-8,-6,-6,-5,-2,-2,-3,-4,-2,-3
OPM %,-23%,-48%,-173%,-319%,-359%,,,,,,,,
Other Income+,0,6,0,-0,0,0,0,0,0,0,0,1,1
Interest,7,8,8,8,8,9,9,8,8,9,11,14,14
Depreciation,1,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-10,-9,-16,-16,-14,-16,-14,-10,-10,-12,-15,-15,-16
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,-10,-9,-16,-16,-14,-16,-14,-10,-10,-12,-15,-15,-16
EPS in Rs,-2.24,-1.88,-3.44,-3.52,-3.15,-3.44,-3.08,-2.17,-2.29,-2.62,-3.20,-3.39,-3.43
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
