Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,158,159,145,177,182,199,218,236
Expenses+,145,148,134,164,167,189,210,228
Operating Profit,13,11,11,13,16,10,8,9
OPM %,8%,7%,7%,7%,9%,5%,4%,4%
Other Income+,0,0,0,0,0,1,1,1
Interest,4,4,4,3,4,4,3,3
Depreciation,1,1,1,1,1,1,2,2
Profit before tax,8,5,6,9,10,5,4,4
Tax %,16%,27%,28%,31%,29%,30%,26%,
Net Profit+,7,4,4,6,7,4,3,3
EPS in Rs,183.87,10.47,11.44,1.95,2.39,0.84,0.66,0.76
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
