Metric,Sep 201415m,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,0,1,3,34,48,33,54,60,52,50,43,27
Expenses+,4,5,14,11,41,58,52,71,94,68,59,58,42
Operating Profit,-4,-5,-12,-8,-8,-10,-19,-18,-34,-16,-9,-15,-15
OPM %,,,"-1,088%",-248%,-22%,-20%,-56%,-33%,-57%,-30%,-17%,-35%,-55%
Other Income+,0,3,1,-0,-1,0,0,1,1,1,0,1,1
Interest,0,4,1,3,5,6,6,6,5,3,5,6,7
Depreciation,0,2,4,4,4,4,5,5,6,7,7,7,7
Profit before tax,-4,-8,-16,-16,-18,-20,-29,-28,-45,-25,-20,-27,-27
Tax %,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,-4,-8,-16,-16,-18,-20,-29,-28,-45,-25,-20,-27,-27
EPS in Rs,-3.78,-6.82,-10.33,-9.67,-10.73,-12.03,-16.04,-14.45,-20.65,-11.45,-9.15,-12.50,-12.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
