Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,987","2,173","2,563","3,441","2,672","2,413","3,966","4,640","4,977","4,744","4,932"
Expenses+,"1,815","1,987","2,364","3,196","2,500","2,270","3,712","4,420","4,711","4,392","4,557"
Operating Profit,172,186,199,245,172,143,255,221,266,352,375
OPM %,9%,9%,8%,7%,6%,6%,6%,5%,5%,7%,8%
Other Income+,2,4,23,8,8,2,16,26,16,11,17
Interest,58,48,45,66,67,59,71,106,122,122,122
Depreciation,60,64,70,79,78,86,101,74,85,93,102
Profit before tax,56,78,106,108,36,1,98,66,75,149,168
Tax %,29%,24%,29%,30%,-33%,85%,24%,22%,21%,25%,
Net Profit+,41,59,75,76,47,0,74,51,59,112,126
EPS in Rs,17.07,24.58,31.15,31.79,20.39,0.76,31.78,23.00,25.69,45.39,50.81
Dividend Payout %,26%,26%,24%,25%,28%,132%,26%,30%,29%,25%,
