Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 201915m,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,524","1,652","2,892","2,938","2,061","3,170","2,861","2,728","3,809","5,091","7,718","9,097","9,442"
Expenses+,"1,362","1,561","2,700","2,726","1,796","2,843","2,523","2,515","3,516","4,691","6,973","8,229","8,542"
Operating Profit,162,91,192,212,264,327,338,213,293,400,745,868,900
OPM %,11%,6%,7%,7%,13%,10%,12%,8%,8%,8%,10%,10%,10%
Other Income+,34,114,-102,23,7,14,-10,45,45,63,64,56,78
Interest,128,136,138,89,88,124,130,138,142,165,218,229,221
Depreciation,44,43,37,46,58,82,137,100,103,114,208,192,180
Profit before tax,24,27,-85,99,126,134,60,20,94,184,383,503,578
Tax %,61%,28%,-30%,48%,42%,38%,27%,20%,26%,32%,28%,26%,
Net Profit+,9,19,-59,51,73,83,44,16,69,125,274,373,446
EPS in Rs,0.81,1.25,-3.82,3.28,4.69,4.77,2.51,0.92,4.01,7.23,15.93,21.70,25.94
Dividend Payout %,12%,0%,0%,9%,9%,8%,12%,13%,11%,10%,11%,9%,
