Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,79,102,93,71,78,86,112,97,116,134
Expenses+,72,95,86,70,70,81,106,90,105,123
Operating Profit,7,7,7,1,8,5,6,6,11,11
OPM %,9%,7%,7%,2%,10%,5%,5%,6%,9%,8%
Other Income+,1,1,1,0,-2,1,0,-0,2,2
Interest,2,1,2,3,4,3,4,5,3,2
Depreciation,0,0,0,1,1,1,1,1,1,1
Profit before tax,5,6,5,-2,2,2,1,1,9,9
Tax %,17%,22%,32%,54%,80%,53%,36%,17%,20%,
Net Profit+,4,5,4,-3,0,1,1,1,7,7
EPS in Rs,5.26,4.05,3.10,-2.44,0.30,0.67,0.68,0.46,4.52,4.81
Dividend Payout %,0%,6%,8%,-10%,0%,0%,0%,0%,0%,
