Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,961,"1,060","1,250","1,427","1,647","1,755","1,885","1,982","2,692","2,838","3,855","4,099","4,184"
Expenses+,925,945,"1,089","1,254","1,427","1,538","1,732","1,828","2,435","2,534","3,467","3,757","3,816"
Operating Profit,36,115,161,173,219,216,153,154,257,304,388,342,368
OPM %,4%,11%,13%,12%,13%,12%,8%,8%,10%,11%,10%,8%,9%
Other Income+,37,11,13,8,6,10,10,22,28,30,232,56,61
Interest,39,39,35,27,25,19,35,43,44,33,48,58,55
Depreciation,12,21,20,24,26,28,32,30,34,39,67,67,72
Profit before tax,22,67,119,131,175,179,97,103,208,262,504,273,301
Tax %,0%,4%,29%,34%,34%,35%,33%,25%,26%,26%,26%,26%,
Net Profit+,22,64,84,86,115,117,64,77,155,194,375,202,222
EPS in Rs,3.46,9.56,12.60,12.84,17.23,17.51,9.61,11.52,23.17,28.96,55.96,30.17,33.20
Dividend Payout %,0%,0%,0%,0%,2%,2%,0%,0%,1%,1%,1%,2%,
