Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,125,179,240,362,444,564,797,748,899,"1,322","1,743","2,260","2,393"
Expenses+,123,177,237,357,437,547,772,695,816,"1,189","1,573","2,052","2,180"
Operating Profit,2,2,3,5,7,17,25,53,83,133,170,208,213
OPM %,1%,1%,1%,1%,2%,3%,3%,7%,9%,10%,10%,9%,9%
Other Income+,0,0,0,0,1,0,9,4,1,3,4,4,8
Interest,1,1,1,2,2,7,14,17,25,30,39,32,38
Depreciation,0,0,0,1,1,2,2,13,16,20,29,37,38
Profit before tax,1,2,2,3,4,9,19,27,43,86,107,143,145
Tax %,31%,33%,33%,33%,33%,33%,25%,25%,18%,25%,28%,26%,
Net Profit+,1,1,1,2,3,6,14,20,35,64,77,106,108
EPS in Rs,24.33,37.67,0.11,0.12,0.20,0.41,0.99,1.70,2.93,5.33,6.01,8.20,8.40
Dividend Payout %,0%,0%,0%,0%,0%,12%,25%,29%,20%,14%,23%,13%,
