Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,120,"1,283",986,871,884,999,830,"1,502","2,269","2,419"
Expenses+,10,988,736,654,668,840,742,"1,292","1,929","2,040"
Operating Profit,110,295,250,217,216,159,87,210,339,379
OPM %,91%,23%,25%,25%,24%,16%,11%,14%,15%,16%
Other Income+,19,42,73,48,67,175,165,134,205,210
Interest,21,25,13,7,9,7,11,17,11,11
Depreciation,37,42,42,42,41,7,8,8,8,8
Profit before tax,70,271,268,216,232,319,233,319,525,570
Tax %,20%,24%,28%,17%,22%,19%,20%,16%,20%,
Net Profit+,56,206,193,179,182,264,187,268,423,461
EPS in Rs,0.63,2.31,17.16,16.28,16.53,23.99,17.36,24.95,36.37,39.63
Dividend Payout %,-0%,-0%,-0%,-0%,61%,8%,35%,28%,25%,
