Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"1,282","1,704","2,461","2,669","3,487","5,167","5,752","5,758"
Interest,417,582,933,987,"1,216","1,738","1,955","1,914"
Expenses+,361,641,"1,308","1,235","1,179","1,444","3,030","3,614"
Financing Profit,504,481,219,447,"1,092","1,984",767,230
Financing Margin %,39%,28%,9%,17%,31%,38%,13%,4%
Other Income+,1,1,5,81,64,6,4,4
Depreciation,8,20,44,47,50,51,62,62
Profit before tax,498,462,180,481,"1,105","1,939",709,172
Tax %,35%,27%,27%,27%,25%,25%,25%,
Net Profit+,322,335,131,353,826,"1,446",531,134
EPS in Rs,22.41,23.17,8.61,22.65,52.87,90.72,33.27,8.36
Dividend Payout %,0%,0%,0%,0%,0%,11%,0%,
