Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales+,202,228,186,181,138,197,267,285
Expenses+,188,214,170,164,121,179,249,265
Operating Profit,14,13,16,16,18,18,19,20
OPM %,7%,6%,8%,9%,13%,9%,7%,7%
Other Income+,0,2,2,3,3,5,6,5
Interest,2,2,2,3,3,4,5,5
Depreciation,8,8,9,10,9,9,8,8
Profit before tax,5,6,6,6,8,10,11,12
Tax %,33%,33%,20%,23%,22%,26%,22%,
Net Profit+,3,4,5,5,6,7,8,9
EPS in Rs,3.40,3.31,3.73,3.46,4.56,6.88,7.96,8.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
