Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,029",953,"1,010",946,"1,231","1,346","1,486","1,144","1,286","1,396","1,646","1,254","1,368"
Expenses+,929,847,903,833,"1,091","1,190","1,314","1,014","1,128","1,228","1,461","1,134","1,218"
Operating Profit,100,106,107,114,140,157,172,130,158,168,185,120,150
OPM %,10%,11%,11%,12%,11%,12%,12%,11%,12%,12%,11%,10%,11%
Other Income+,11,12,3,4,10,6,12,9,10,18,17,40,39
Interest,29,38,35,39,48,54,55,52,60,68,67,66,70
Depreciation,31,32,38,40,41,43,48,43,43,44,44,44,44
Profit before tax,50,48,37,38,60,66,82,45,65,73,90,51,74
Tax %,28%,27%,23%,21%,19%,21%,23%,26%,19%,22%,20%,23%,26%
Net Profit+,36,35,28,30,49,52,62,34,53,56,72,39,55
EPS in Rs,1.53,1.45,1.19,1.28,1.87,2.06,2.36,1.41,2.09,2.23,2.81,1.56,2.21
Raw PDF,,,,,,,,,,,,,
