Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,214","1,236","2,123","1,916","1,984","1,882","2,066","2,047"
Expenses+,"1,143","1,190","2,040","1,833","1,894","1,761","1,949","1,932"
Operating Profit,71,45,83,83,90,120,117,116
OPM %,6%,4%,4%,4%,5%,6%,6%,6%
Other Income+,3,5,5,5,60,24,19,42
Interest,4,12,16,12,27,28,31,33
Depreciation,20,32,39,36,53,56,59,60
Profit before tax,49,7,33,41,70,61,46,65
Tax %,23%,44%,38%,27%,27%,38%,15%,
Net Profit+,37,4,20,30,52,38,39,48
EPS in Rs,3.60,0.41,2.06,2.68,5.61,3.85,3.64,4.05
Dividend Payout %,28%,0%,0%,37%,36%,52%,27%,
