Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,611,704,"1,010","1,280","1,767","2,949","4,286","4,950","5,922","8,205","10,555","16,064","17,274"
Interest,289,282,395,496,827,"1,607","2,377","2,585","2,688","3,780","5,398","8,052","8,968"
Expenses+,184,209,289,445,832,"1,163","1,612","2,224","2,634","3,410","4,629","7,491","8,340"
Financing Profit,137,212,326,339,109,180,296,142,601,"1,016",528,520,-34
Financing Margin %,22%,30%,32%,26%,6%,6%,7%,3%,10%,12%,5%,3%,-0%
Other Income+,4,2,5,810,388,462,706,"1,421",994,"1,034","1,697","2,526","2,902"
Depreciation,3,7,9,6,53,62,89,104,140,185,225,259,0
Profit before tax,138,208,323,"1,143",443,580,914,"1,458","1,454","1,865","1,999","2,788","2,868"
Tax %,33%,33%,34%,28%,34%,34%,26%,20%,22%,23%,23%,24%,
Net Profit+,92,140,212,822,292,382,675,"1,171","1,130","1,428","1,535","2,106","2,174"
EPS in Rs,10.68,15.90,23.99,14.46,5.11,6.53,11.09,18.75,17.94,21.42,22.93,28.29,29.18
Dividend Payout %,0%,0%,0%,0%,5%,6%,0%,0%,3%,5%,4%,4%,
