Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,770","7,909","9,299","10,279","12,036","11,122","4,374","5,844","6,891","7,552","8,154","8,283"
Expenses+,"6,206","7,341","8,716","9,398","10,978","10,306","4,036","5,484","6,316","6,796","7,379","7,473"
Operating Profit,564,568,582,881,"1,059",816,338,360,575,756,775,809
OPM %,8%,7%,6%,9%,9%,7%,8%,6%,8%,10%,10%,10%
Other Income+,229,73,172,108,122,94,-556,-996,-821,69,-112,-65
Interest,475,-43,90,86,97,139,89,118,190,194,170,162
Depreciation,254,292,337,386,566,732,274,305,337,337,323,325
Profit before tax,63,392,327,516,519,39,-581,"-1,059",-773,294,169,257
Tax %,73%,6%,4%,13%,17%,94%,8%,5%,6%,-81%,59%,
Net Profit+,17,370,313,451,429,3,-629,"-1,107",-817,532,70,143
EPS in Rs,16.06,353.36,254.29,36.57,31.54,0.01,-41.36,-72.64,-53.66,34.43,4.01,8.77
Dividend Payout %,16%,1%,13%,1%,14%,"21,284%",0%,0%,0%,0%,25%,
