Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,981","1,746","1,867","1,927","1,955","2,770","3,259","4,425","6,198","5,051","4,051","4,675"
Expenses+,"2,155","1,966","1,821","1,759","1,945","2,491","2,708","3,829","5,443","4,693","3,956","4,495"
Operating Profit,-174,-220,45,168,10,279,551,596,755,358,95,180
OPM %,-9%,-13%,2%,9%,0%,10%,17%,13%,12%,7%,2%,4%
Other Income+,27,41,18,42,457,"1,004",68,22,136,-42,241,236
Interest,201,257,305,321,281,289,245,244,248,247,246,246
Depreciation,25,23,21,17,23,18,23,27,30,27,37,40
Profit before tax,-373,-459,-263,-129,163,976,350,346,613,42,54,131
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,-206%,23%,
Net Profit+,-373,-459,-263,-129,163,976,350,346,613,128,41,104
EPS in Rs,-5.76,-7.09,-4.06,-1.99,2.51,15.08,5.42,5.35,9.47,1.98,0.64,1.60
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,11%,49%,61%,
