Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,74.18,112.73,105.78,92.43,80.53,80.49,71.78,70.22,66.01,84.63,93.54,150.22,107.70
Expenses+,85.69,115.03,121.94,97.39,82.70,94.63,93.37,81.01,78.78,89.65,99.69,100.60,121.41
Operating Profit,-11.51,-2.30,-16.16,-4.96,-2.17,-14.14,-21.59,-10.79,-12.77,-5.02,-6.15,49.62,-13.71
OPM %,-15.52%,-2.04%,-15.28%,-5.37%,-2.69%,-17.57%,-30.08%,-15.37%,-19.35%,-5.93%,-6.57%,33.03%,-12.73%
Other Income+,1.38,-5.83,-0.09,1.71,1.83,0.56,0.76,1.16,12.77,-472.60,10.18,3.47,3.50
Interest,18.59,18.94,18.81,21.95,23.97,24.23,25.38,26.74,27.39,12.67,3.38,2.53,2.38
Depreciation,7.40,7.40,7.07,7.24,7.33,7.34,7.25,7.15,7.22,169.88,3.55,3.11,-13.53
Profit before tax,-36.12,-34.47,-42.13,-32.44,-31.64,-45.15,-53.46,-43.52,-34.61,-660.17,-2.90,47.45,0.94
Tax %,0.00%,0.00%,0.00%,1.02%,0.00%,0.00%,-0.11%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%
Net Profit+,-36.13,-34.47,-42.13,-32.77,-31.65,-45.15,-53.41,-43.52,-34.61,-660.18,-2.90,47.46,0.94
EPS in Rs,-5.03,-4.80,-5.86,-4.56,-4.40,-6.07,-7.65,-6.06,-4.81,-91.87,-0.12,2.08,0.04
Raw PDF,,,,,,,,,,,,,
