Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Revenue+,494,710,903,"1,103","1,304","1,609","2,018"
Interest,193,255,356,458,478,591,828
Expenses+,162,188,226,274,352,442,534
Financing Profit,139,267,321,371,475,575,655
Financing Margin %,28%,38%,36%,34%,36%,36%,32%
Other Income+,1,1,1,2,1,2,3
Depreciation,6,10,20,21,24,29,33
Profit before tax,134,258,302,353,453,548,625
Tax %,31%,32%,18%,18%,22%,22%,22%
Net Profit+,93,176,249,289,355,430,491
EPS in Rs,13.45,22.54,31.80,36.80,45.00,54.36,62.00
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
