Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,339,348,375,824,877,708,945,906
Expenses+,314,320,345,776,842,684,915,879
Operating Profit,25,28,30,48,35,24,31,26
OPM %,7%,8%,8%,6%,4%,3%,3%,3%
Other Income+,5,1,1,2,1,1,1,2
Interest,5,8,6,10,12,12,13,12
Depreciation,12,16,12,13,12,13,12,12
Profit before tax,12,5,13,27,12,0,7,4
Tax %,34%,24%,29%,32%,32%,-16%,32%,
Net Profit+,8,4,9,18,8,0,5,3
EPS in Rs,0.54,0.27,0.59,1.20,0.55,0.03,0.31,0.17
Dividend Payout %,-0%,-0%,-0%,416%,-0%,-0%,-0%,
