Metric,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Sales+,389,308,422,424,470,464,457,420,441,386,399,386,397
Expenses+,292,240,309,313,332,332,341,328,365,320,330,325,345
Operating Profit,97,69,113,111,138,132,117,92,76,66,69,60,51
OPM %,25%,22%,27%,26%,29%,28%,26%,22%,17%,17%,17%,16%,13%
Other Income+,2,1,2,2,4,7,14,-4,9,6,7,1,7
Interest,-4,11,2,1,3,3,2,11,3,4,2,6,0
Depreciation,17,17,19,18,18,18,18,18,17,18,18,18,18
Profit before tax,86,41,94,94,120,118,110,58,64,50,55,37,40
Tax %,34%,28%,29%,33%,33%,34%,34%,36%,-7%,25%,26%,8%,26%
Net Profit+,56,30,67,63,81,78,72,38,69,37,41,35,30
EPS in Rs,4.60,2.43,5.47,5.14,6.57,6.33,5.91,3.06,5.62,3.04,3.34,2.82,2.43
Raw PDF,,,,,,,,,,,,,
