Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,46,44,55,54,57,69,72,83,91,114,150,133
Expenses+,42,53,56,47,45,47,51,58,73,94,128,120
Operating Profit,4,-10,-0,7,11,22,21,25,17,21,22,13
OPM %,8%,-22%,-1%,13%,20%,31%,30%,30%,19%,18%,14%,10%
Other Income+,3,3,1,1,1,2,2,1,1,2,4,5
Interest,0,1,1,1,1,1,1,0,0,0,0,0
Depreciation,1,2,3,4,2,1,1,1,2,2,5,6
Profit before tax,5,-8,-3,3,10,21,22,24,17,20,20,12
Tax %,23%,-1%,43%,115%,13%,19%,18%,21%,18%,22%,20%,
Net Profit+,4,-8,-5,-0,9,17,18,19,14,16,16,10
EPS in Rs,2.01,-3.86,-2.18,-0.21,3.91,7.75,8.06,8.49,5.86,6.66,6.94,4.34
Dividend Payout %,0%,0%,0%,0%,5%,3%,5%,5%,9%,15%,14%,
