Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,329,809,742,"1,273","1,488","1,532","1,731","1,630"
Expenses+,320,791,730,"1,238","1,450","1,513","1,726","1,628"
Operating Profit,9,19,11,35,39,19,6,2
OPM %,3%,2%,2%,3%,3%,1%,0%,0%
Other Income+,0,1,10,10,5,4,12,12
Interest,5,9,5,12,6,10,13,16
Depreciation,0,0,0,0,0,1,1,1
Profit before tax,4,11,16,33,37,13,4,-4
Tax %,24%,24%,23%,26%,25%,19%,6%,
Net Profit+,3,8,13,24,28,10,4,-3
EPS in Rs,1.16,3.33,5.01,9.67,8.29,3.02,1.04,-0.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
