Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,183,241,304,356,403,434,495,589,527,572,687,763
Expenses+,110,147,189,212,249,261,323,353,403,432,498,535
Operating Profit,73,94,115,145,154,174,171,236,123,140,190,228
OPM %,40%,39%,38%,41%,38%,40%,35%,40%,23%,24%,28%,30%
Other Income+,8,7,-15,21,11,1,12,29,9,9,15,17
Interest,0,1,0,0,1,2,1,3,5,6,4,3
Depreciation,13,18,18,20,26,32,30,34,39,47,55,54
Profit before tax,68,82,82,145,138,140,152,228,89,96,145,188
Tax %,35%,37%,48%,36%,38%,37%,26%,23%,27%,28%,38%,
Net Profit+,44,52,43,93,85,88,113,176,64,69,91,127
EPS in Rs,8.95,9.64,7.98,17.36,16.13,16.73,21.40,33.29,12.18,13.36,17.27,24.11
Dividend Payout %,171%,104%,125%,58%,124%,30%,117%,45%,148%,135%,122%,
