Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,459","2,402","2,204","2,079","2,263","2,699","2,711","3,474","5,281","7,276","7,478","7,320","6,866"
Expenses+,"2,161","2,091","1,911","1,791","2,006","2,295","2,320","3,038","4,586","6,530","6,274","6,270","6,013"
Operating Profit,299,311,293,288,257,404,391,436,695,746,"1,204","1,050",852
OPM %,12%,13%,13%,14%,11%,15%,14%,13%,13%,10%,16%,14%,12%
Other Income+,28,59,7,100,80,-137,8,-194,59,77,76,109,127
Interest,150,157,180,210,210,235,228,208,195,286,219,161,156
Depreciation,56,71,67,67,62,59,57,90,115,121,125,142,151
Profit before tax,120,144,52,111,65,-26,114,-56,444,415,937,856,673
Tax %,32%,19%,32%,30%,-2%,-70%,25%,72%,22%,24%,21%,17%,
Net Profit+,-15,-116,-27,144,124,39,161,-91,348,316,740,710,573
EPS in Rs,-0.46,-3.25,-0.77,4.04,3.47,0.94,3.72,-2.11,5.84,5.31,11.97,11.48,9.26
Dividend Payout %,-140%,-20%,-65%,12%,9%,0%,8%,-12%,14%,17%,12%,12%,
