Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,1,0,0,-0,175,42,22,31,32
Expenses+,2,1,-0,0,38,37,30,31,33
Operating Profit,-2,-1,0,-0,136,5,-8,-0,-2
OPM %,-362%,-400%,150%,,78%,13%,-37%,-1%,-5%
Other Income+,0,0,0,0,1,3,-162,"-2,517","-2,516"
Interest,0,-0,-0,-0,-0,-0,-0,-0,0
Depreciation,0,0,0,0,-0,-0,-0,0,0
Profit before tax,-2,-1,0,-0,137,8,-170,"-2,517","-2,518"
Tax %,-0%,-0%,-0%,,25%,28%,-0%,0%,
Net Profit+,-2,-1,0,-0,103,6,-170,"-2,517","-2,518"
EPS in Rs,,,,,,,-16.04,-232.09,-232.21
Dividend Payout %,-0%,-0%,-0%,,-0%,-0%,-0%,-0%,
