Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"168,656","169,213","164,067","163,824","147,614","167,357","172,137","168,968","159,331","166,097","170,812","163,108","157,911"
Expenses+,"155,311","147,346","143,527","133,029","119,534","146,996","148,913","147,183","138,757","141,819","148,727","137,429","131,390"
Operating Profit,"13,346","21,867","20,539","30,795","28,080","20,360","23,224","21,785","20,574","24,278","22,085","25,679","26,521"
OPM %,8%,13%,13%,19%,19%,12%,13%,13%,13%,15%,13%,16%,17%
Other Income+,"2,315","2,807","-4,786","3,069","3,673","4,299","3,375","3,535","4,162","2,411","3,465","2,555","3,447"
Interest,"1,993","2,188","2,068","2,364","3,243","3,203","3,608","3,694","3,827","3,670","3,500","3,341","3,411"
Depreciation,"4,443","6,784","6,744","7,078","7,079","7,494","8,420","8,501","8,254","9,497","9,043","9,384","9,273"
Profit before tax,"9,224","15,702","6,941","24,422","21,431","13,962","14,570","13,125","12,655","13,522","13,006","15,509","17,284"
Tax %,26%,26%,7%,27%,25%,25%,24%,26%,22%,28%,32%,26%,27%
Net Profit+,"6,830","11,665","6,478","17,893","16,171","10,511","11,096","9,776","9,841","9,784","8,856","11,554","12,615"
EPS in Rs,6.60,9.13,3.57,11.64,10.89,8.51,7.97,7.93,8.14,6.85,5.82,7.79,8.57
Raw PDF,,,,,,,,,,,,,
