Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,352,307,329,428,466,513,631,760,830
Expenses+,313,270,295,373,414,453,553,666,725
Operating Profit,39,38,34,55,52,60,78,94,105
OPM %,11%,12%,10%,13%,11%,12%,12%,12%,13%
Other Income+,4,54,2,-19,7,10,13,18,18
Interest,6,5,3,1,1,1,1,4,5
Depreciation,17,11,9,13,12,12,13,28,30
Profit before tax,20,76,25,22,46,57,77,80,88
Tax %,44%,16%,34%,28%,16%,25%,25%,24%,
Net Profit+,11,64,16,16,38,43,58,61,67
EPS in Rs,20.04,99.55,25.28,24.69,17.48,20.04,27.98,29.10,32.10
Dividend Payout %,0%,0%,0%,0%,20%,20%,20%,20%,
