Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,35,87,240,273,306,412,549,583
Expenses+,-20,20,153,141,155,179,346,393
Operating Profit,54,67,87,132,151,233,203,190
OPM %,157%,77%,36%,48%,49%,57%,37%,33%
Other Income+,1,2,4,1,2,3,4,4
Interest,53,64,79,93,107,139,66,66
Depreciation,1,2,2,4,3,4,5,4
Profit before tax,2,2,9,36,43,94,136,125
Tax %,25%,35%,31%,27%,26%,28%,26%,
Net Profit+,2,2,6,27,32,67,100,93
EPS in Rs,2.36,2.18,9.44,7.93,9.67,15.22,20.97,19.39
Dividend Payout %,0%,0%,0%,0%,0%,6%,0%,
