Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,368,164,165,172,172,250,224,236,241
Expenses+,352,82,77,109,90,194,149,184,200
Operating Profit,15,82,88,63,82,57,75,52,41
OPM %,4%,50%,53%,37%,48%,23%,33%,22%,17%
Other Income+,-14,-68,-47,-112,-70,24,35,57,92
Interest,65,30,53,61,55,57,25,19,17
Depreciation,17,27,40,49,50,58,53,53,51
Profit before tax,-80,-43,-51,-158,-93,-34,31,37,65
Tax %,-29%,23%,2%,-3%,0%,84%,12%,41%,
Net Profit+,-57,-53,-52,-154,-93,-62,28,22,40
EPS in Rs,"-11,328.00",-9.13,-4.52,-11.94,-3.97,-2.09,0.95,0.54,1.04
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
