Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,284,278,279,263,254,258,256,255,225,195,190,195,198
Expenses+,250,251,254,240,227,229,235,231,202,186,165,180,185
Operating Profit,33,26,25,23,28,28,22,24,23,8,26,15,13
OPM %,12%,10%,9%,9%,11%,11%,8%,10%,10%,4%,13%,7%,7%
Other Income+,3,20,8,7,5,32,6,8,14,2,44,27,19
Interest,2,2,3,2,2,2,2,2,2,2,3,2,2
Depreciation,18,19,19,19,21,21,20,15,15,13,14,13,12
Profit before tax,16,25,11,9,11,36,5,15,20,-5,53,27,18
Tax %,20%,30%,2%,53%,20%,32%,30%,22%,57%,41%,24%,31%,28%
Net Profit+,13,18,11,4,8,24,3,12,8,-6,40,19,13
EPS in Rs,1.39,1.87,1.17,0.43,0.89,2.58,0.35,1.22,0.88,-0.67,4.26,1.98,1.39
Raw PDF,,,,,,,,,,,,,
