Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"3,867","2,405","3,065","3,272","4,943","4,818","4,658","6,580","11,534","10,454","10,293","12,836","14,855"
Expenses+,"3,722","2,294","2,909","3,140","4,744","4,634","4,476","6,332","11,108","10,063","9,850","12,353","14,294"
Operating Profit,145,111,156,132,199,184,182,248,426,391,443,482,561
OPM %,4%,5%,5%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
Other Income+,1,4,3,6,3,4,19,16,206,10,265,8,497
Interest,16,15,15,14,17,22,21,29,38,41,46,33,38
Depreciation,29,29,32,34,36,41,51,55,66,75,86,93,96
Profit before tax,100,70,112,90,149,126,130,180,529,285,576,366,924
Tax %,23%,26%,28%,25%,24%,23%,25%,22%,22%,24%,19%,23%,19%
Net Profit+,77,52,81,67,113,97,97,140,412,216,465,280,746
EPS in Rs,13.02,8.72,13.54,11.55,18.02,16.12,15.91,22.34,65.15,28.50,66.54,37.20,110.72
Raw PDF,,,,,,,,,,,,,
