Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,302,260,255,252,266,277,303,489,723,600,666,695
Expenses+,262,215,223,232,252,235,238,370,642,579,590,606
Operating Profit,39,45,31,20,14,42,66,119,82,21,76,89
OPM %,13%,17%,12%,8%,5%,15%,22%,24%,11%,4%,11%,13%
Other Income+,2,2,2,3,1,4,5,4,5,11,18,19
Interest,13,8,5,3,1,0,0,3,12,12,10,10
Depreciation,22,22,22,14,2,2,2,6,32,32,32,33
Profit before tax,7,17,7,6,12,44,68,114,42,-12,51,66
Tax %,46%,36%,-25%,33%,32%,27%,25%,25%,26%,-24%,31%,
Net Profit+,11,15,19,11,12,37,63,98,43,6,47,57
EPS in Rs,4.51,6.10,7.66,4.66,4.97,15.16,25.46,39.74,17.57,2.31,19.27,23.30
Dividend Payout %,0%,8%,7%,11%,10%,7%,6%,6%,9%,66%,5%,
