Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,074.69","1,105.94","1,435.49","1,210.28","1,026.30",840.85,873.10,813.44,897.04,909.46,978.95,"1,023.15","1,060.94"
Expenses+,896.10,917.33,998.66,"1,057.23","1,033.31",815.01,831.50,738.56,686.07,641.45,746.77,778.86,806.95
Operating Profit,178.59,188.61,436.83,153.05,-7.01,25.84,41.60,74.88,210.97,268.01,232.18,244.29,253.99
OPM %,16.62%,17.05%,30.43%,12.65%,-0.68%,3.07%,4.76%,9.21%,23.52%,29.47%,23.72%,23.88%,23.94%
Other Income+,50.11,70.19,95.50,58.61,11.75,104.81,80.89,29.88,131.24,-83.77,-230.91,166.98,10.90
Interest,99.86,87.80,132.31,155.67,160.41,116.64,125.19,127.21,127.65,150.24,132.82,113.85,119.74
Depreciation,106.53,101.72,157.35,124.80,128.30,132.16,113.10,112.32,139.46,127.72,125.80,133.30,139.35
Profit before tax,22.31,69.28,242.67,-68.81,-283.97,-118.15,-115.80,-134.77,75.10,-93.72,-257.35,164.12,5.80
Tax %,50.92%,39.54%,21.51%,4.78%,-9.50%,-33.13%,-30.55%,17.30%,32.88%,5.62%,-2.22%,32.70%,30.00%
Net Profit+,10.95,41.90,190.47,-72.10,-256.99,-79.00,-80.41,-158.08,50.41,-99.00,-251.62,110.46,4.07
EPS in Rs,0.40,0.55,5.48,-2.27,-7.37,-1.85,-2.01,-3.98,1.11,-2.01,-7.70,2.00,0.05
Raw PDF,,,,,,,,,,,,,
