Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"3,713","4,561","6,302","8,779","8,676","8,445","9,677","12,394","14,041","13,962"
Interest,"2,492","2,741","3,761","4,885","4,539","4,148","4,679","6,350","7,576","7,781"
Expenses+,"1,234","1,827","2,559","4,919","5,129","6,674","6,071","7,520","9,312","9,823"
Financing Profit,-12,-6,-17,"-1,025",-993,"-2,378","-1,073","-1,477","-2,847","-3,642"
Financing Margin %,-0%,-0%,-0%,-12%,-11%,-28%,-11%,-12%,-20%,-26%
Other Income+,755,"1,069","1,441","1,918","1,875","2,352","2,507","3,060","3,778","4,080"
Depreciation,62,89,126,146,170,180,213,235,236,0
Profit before tax,681,974,"1,298",747,712,-206,"1,221","1,349",696,439
Tax %,35%,34%,34%,33%,26%,-20%,25%,7%,-3%,
Net Profit+,447,633,861,500,529,-166,920,"1,260",717,541
EPS in Rs,11.91,15.05,20.10,9.83,8.85,-2.77,15.34,20.82,11.80,8.87
Dividend Payout %,15%,14%,13%,15%,0%,0%,10%,7%,8%,
