Metric,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,134,238,359,615,783,814,771,776,843,917,983,"1,098","1,131"
Expenses+,120,205,309,533,665,696,658,668,738,824,878,970,"1,001"
Operating Profit,13,33,49,82,118,118,112,108,105,93,104,128,131
OPM %,10%,14%,14%,13%,15%,14%,15%,14%,12%,10%,11%,12%,12%
Other Income+,0,2,1,4,3,5,4,5,1,-182,2,2,2
Interest,3,6,9,10,16,19,16,13,12,11,18,20,20
Depreciation,2,3,3,4,5,7,13,13,11,14,16,17,17
Profit before tax,8,26,39,71,99,97,87,87,83,-114,72,92,96
Tax %,16%,14%,21%,25%,31%,21%,19%,18%,16%,11%,11%,14%,
Net Profit+,6,22,31,53,68,77,71,71,70,-127,64,80,82
EPS in Rs,0.15,0.51,0.66,1.13,1.42,1.60,1.46,1.48,1.46,-2.63,1.31,1.63,1.68
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,
