Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,533,714,749,772,"1,013","1,189",957,849,"1,078","1,401","1,559","1,720","1,663"
Expenses+,479,641,671,687,905,"1,042",851,765,965,"1,247","1,364","1,526","1,478"
Operating Profit,53,73,78,85,108,146,106,83,113,154,195,194,185
OPM %,10%,10%,10%,11%,11%,12%,11%,10%,10%,11%,13%,11%,11%
Other Income+,4,2,3,4,9,3,3,3,3,3,4,3,1
Interest,11,20,22,26,30,35,39,36,30,31,41,45,43
Depreciation,21,26,27,27,32,38,44,49,53,64,78,91,97
Profit before tax,25,29,32,35,56,76,25,1,33,62,81,62,46
Tax %,24%,32%,31%,30%,30%,31%,33%,279%,26%,17%,24%,26%,
Net Profit+,19,20,22,25,39,53,17,-2,24,51,61,46,33
EPS in Rs,17.42,18.04,18.12,20.14,28.94,38.82,12.36,-1.39,15.01,31.91,38.09,28.32,20.48
Dividend Payout %,14%,17%,21%,21%,22%,18%,10%,-0%,15%,20%,20%,19%,
