Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,18,44,79,2,2,7,6,11,29,71,181
Expenses+,16,31,64,2,8,2,1,2,2,53,144
Operating Profit,2,13,15,0,-6,6,5,9,27,18,37
OPM %,13%,30%,19%,16%,-241%,77%,79%,85%,93%,25%,21%
Other Income+,0,0,1,9,0,54,69,63,0,1,25
Interest,0,0,-0,-0,0,0,0,0,0,3,8
Depreciation,0,0,0,0,0,1,0,0,1,2,7
Profit before tax,2,13,15,9,-6,58,73,72,26,14,48
Tax %,-1%,19%,20%,4%,-16%,2%,0%,2%,11%,46%,
Net Profit+,-18,86,31,9,-5,57,73,70,34,27,44
EPS in Rs,-180.40,862.30,308.00,90.20,-54.40,571.50,730.30,704.20,338.40,344.90,445.10
Dividend Payout %,-1%,0%,1%,3%,-2%,0%,0%,0%,1%,1%,
