Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,902","3,172","2,894","3,466","4,875","5,616","5,541","5,561"
Expenses+,"3,770","3,064","2,742","3,303","4,653","5,357","5,383","5,417"
Operating Profit,132,108,152,163,222,259,159,143
OPM %,3%,3%,5%,5%,5%,5%,3%,3%
Other Income+,14,35,26,18,17,33,20,18
Interest,66,74,58,64,74,102,89,88
Depreciation,48,61,72,69,79,92,99,102
Profit before tax,32,8,47,49,85,98,-9,-28
Tax %,32%,-56%,31%,31%,24%,22%,17%,
Net Profit+,21,12,32,34,64,76,-10,-25
EPS in Rs,17.04,9.96,25.88,26.84,51.07,10.69,-1.47,-3.47
Dividend Payout %,0%,0%,0%,0%,0%,5%,0%,
