Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,153,152,258,318,278,339,368,382
Expenses+,121,130,178,249,243,285,333,348
Operating Profit,32,22,80,68,35,54,35,34
OPM %,21%,14%,31%,21%,13%,16%,9%,9%
Other Income+,4,1,8,11,6,14,9,10
Interest,3,3,2,2,2,2,3,3
Depreciation,6,8,8,10,11,12,12,14
Profit before tax,28,12,78,67,27,54,28,27
Tax %,27%,31%,27%,25%,25%,24%,24%,
Net Profit+,20,8,57,50,20,41,21,21
EPS in Rs,32.58,13.50,91.81,80.77,33.18,66.88,34.19,33.78
Dividend Payout %,5%,13%,2%,2%,5%,3%,5%,
