Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,342,290,263,304,331,482,362,339,608,828,880,775,771
Expenses+,332,297,266,303,356,470,372,339,592,796,830,727,723
Operating Profit,10,-6,-3,1,-25,12,-10,0,16,33,51,48,48
OPM %,3%,-2%,-1%,0%,-8%,2%,-3%,0%,3%,4%,6%,6%,6%
Other Income+,0,0,1,15,0,2,21,0,62,2,1,3,2
Interest,7,8,9,9,11,16,17,18,15,13,15,15,15
Depreciation,15,10,10,9,10,10,11,11,11,14,16,20,20
Profit before tax,-12,-24,-21,-3,-47,-13,-17,-30,52,8,20,17,15
Tax %,-31%,-5%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,
Net Profit+,-8,-23,-21,-3,-47,-13,-17,-30,52,8,20,17,15
EPS in Rs,-5.23,-14.61,-13.11,-1.81,-29.35,-7.96,-10.72,-18.72,32.97,5.25,12.71,10.58,9.73
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
