Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,78,92,121,99,60,105,169,224,183,170
Expenses+,72,81,105,92,58,96,135,177,157,151
Operating Profit,6,11,16,8,2,9,33,46,26,19
OPM %,8%,12%,13%,8%,3%,9%,20%,21%,14%,11%
Other Income+,1,0,1,1,1,1,1,6,3,3
Interest,1,0,1,1,1,1,1,1,1,1
Depreciation,0,1,2,4,4,3,5,7,8,9
Profit before tax,6,10,13,4,-3,6,29,45,20,12
Tax %,33%,39%,27%,47%,-13%,23%,22%,13%,24%,
Net Profit+,4,6,10,2,-2,5,23,39,15,8
EPS in Rs,3.24,3.53,5.78,0.45,-0.46,0.90,3.54,5.91,2.26,1.23
Dividend Payout %,0%,0%,3%,0%,0%,11%,42%,0%,0%,
