Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"7,271","8,197","8,762","9,434","10,238","11,423","11,889","13,396","14,507","16,623","17,109","18,298","18,676"
Expenses+,"6,642","7,335","7,558","8,164","8,919","9,741","10,138","11,247","12,912","14,897","14,242","15,162","15,552"
Operating Profit,629,861,"1,204","1,270","1,319","1,683","1,751","2,150","1,595","1,726","2,867","3,136","3,124"
OPM %,9%,11%,14%,13%,13%,15%,15%,16%,11%,10%,17%,17%,17%
Other Income+,88,295,161,186,201,391,440,338,384,-781,290,406,451
Interest,43,41,44,43,55,60,124,151,252,425,364,159,161
Depreciation,94,155,126,131,153,172,200,213,213,239,313,326,335
Profit before tax,579,961,"1,195","1,282","1,312","1,841","1,868","2,124","1,514",281,"2,479","3,057","3,078"
Tax %,31%,28%,34%,33%,41%,35%,31%,40%,47%,290%,32%,28%,
Net Profit+,402,696,792,858,773,"1,189","1,280","1,278",809,-534,"1,689","2,199","2,225"
EPS in Rs,29.68,51.15,55.36,60.45,39.76,89.00,85.75,52.96,9.09,-240.22,91.24,160.90,163.54
Dividend Payout %,3%,2%,2%,2%,3%,1%,1%,2%,13%,-0%,1%,11%,
