Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,473,443,407,542,564,471,273,266,190,319,221,408,585
Expenses+,174,117,58,174,526,314,113,283,250,230,360,292,472
Operating Profit,300,326,348,368,39,156,160,-17,-60,89,-138,116,113
OPM %,63%,74%,86%,68%,7%,33%,59%,-6%,-31%,28%,-62%,28%,19%
Other Income+,73,98,32,33,291,65,-45,-4,24,2,141,118,174
Interest,357,403,383,424,351,218,139,105,87,94,74,135,99
Depreciation,10,10,4,3,3,3,4,4,4,3,3,3,3
Profit before tax,7,11,-7,-26,-25,-0,-29,-130,-127,-7,-75,97,186
Tax %,-225%,87%,-35%,22%,-9%,"3,713%",59%,-0%,3%,-486%,1%,43%,
Net Profit+,23,0,-25,-41,-26,-16,-61,-122,-128,30,-86,46,136
EPS in Rs,3.15,0.10,-3.32,-5.60,-3.60,-2.07,-8.33,-16.72,-17.65,4.00,-10.78,3.39,9.41
Dividend Payout %,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
