Metric,Jun 2014,Mar 20159m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,111","1,587",855,259,281,377,407,712,991,432,439,448,462
Expenses+,"2,105","1,833",864,288,276,362,401,700,976,429,426,452,460
Operating Profit,6,-246,-9,-29,5,14,6,12,15,3,14,-3,3
OPM %,0%,-16%,-1%,-11%,2%,4%,1%,2%,2%,1%,3%,-1%,1%
Other Income+,12,-25,-19,21,-23,18,-35,24,20,-3,18,-21,-18
Interest,3,3,1,0,2,3,4,2,1,1,2,3,3
Depreciation,38,24,28,20,17,18,21,23,20,22,7,6,6
Profit before tax,-23,-298,-57,-28,-37,12,-54,12,13,-23,22,-32,-25
Tax %,18%,3%,17%,36%,22%,24%,4%,53%,50%,-6%,46%,20%,
Net Profit+,-28,-306,-67,-38,-45,9,-56,6,7,-22,12,-39,-32
EPS in Rs,-1.24,-13.49,-3.01,-1.57,-1.57,0.27,-2.16,0.50,0.23,-0.89,0.50,-1.68,-1.40
Dividend Payout %,-12%,0%,0%,0%,0%,150%,0%,0%,0%,0%,0%,0%,
