Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,307,318,375,487,519,608,673,524,610,822,955,"1,031","1,051"
Expenses+,278,276,322,448,501,595,580,459,539,675,826,886,906
Operating Profit,29,42,54,39,18,13,93,65,72,146,129,144,145
OPM %,9%,13%,14%,8%,4%,2%,14%,12%,12%,18%,14%,14%,14%
Other Income+,3,-1,3,15,12,24,8,-26,7,-62,16,16,17
Interest,4,3,2,13,14,25,30,24,17,37,58,34,32
Depreciation,8,9,10,12,19,20,33,26,25,27,34,40,40
Profit before tax,20,29,45,29,-3,-8,38,-10,37,21,53,88,91
Tax %,18%,31%,35%,50%,181%,-9%,21%,104%,38%,123%,37%,14%,
Net Profit+,16,20,29,15,-8,-8,30,-21,23,-5,33,75,79
EPS in Rs,8.01,7.14,10.51,3.74,-2.18,-2.15,7.88,-5.74,5.86,-1.37,7.82,17.63,18.52
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
