Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,350","1,294","1,401","1,370","1,604","1,863","1,829","1,924","2,525","3,041","3,218","3,510","3,576"
Expenses+,"1,249","1,204","1,274","1,229","1,426","1,669","1,692","1,707","2,227","2,604","2,727","2,982","3,044"
Operating Profit,101,90,127,141,178,194,138,217,298,437,491,529,532
OPM %,8%,7%,9%,10%,11%,10%,8%,11%,12%,14%,15%,15%,15%
Other Income+,9,32,6,14,10,11,14,25,54,175,60,63,72
Interest,12,17,14,9,7,11,17,15,15,24,34,34,29
Depreciation,26,37,44,45,44,51,65,74,74,78,77,76,76
Profit before tax,72,68,75,100,137,144,70,153,263,510,440,482,499
Tax %,37%,30%,32%,26%,30%,28%,39%,33%,32%,27%,29%,27%,
Net Profit+,46,48,51,74,95,103,43,102,178,371,312,350,363
EPS in Rs,1.44,1.52,1.61,2.34,3.01,3.25,1.34,3.23,5.63,11.70,9.85,11.05,11.45
Dividend Payout %,35%,33%,31%,21%,20%,20%,61%,25%,20%,17%,20%,20%,
