Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,050","1,147","1,416","1,653","1,527","1,543","1,591"
Expenses+,942,953,"1,216","1,513","1,439","1,443","1,480"
Operating Profit,109,193,200,141,88,100,111
OPM %,10%,17%,14%,9%,6%,7%,7%
Other Income+,7,9,10,5,11,7,45
Interest,17,13,12,22,37,44,42
Depreciation,41,40,38,50,59,65,64
Profit before tax,57,149,161,74,3,-2,49
Tax %,14%,26%,26%,27%,72%,50%,
Net Profit+,49,111,118,54,1,-3,39
EPS in Rs,6.21,13.43,13.69,6.20,0.10,-0.35,4.53
Dividend Payout %,48%,22%,22%,32%,503%,-144%,
