Metric,Mar 201810m,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,9.70,24.06,23.20,37.08,57.25,82.85,90.33,77.06,63.94
Expenses+,8.80,22.30,22.32,34.16,53.60,74.59,79.18,73.18,61.93
Operating Profit,0.90,1.76,0.88,2.92,3.65,8.26,11.15,3.88,2.01
OPM %,9.28%,7.32%,3.79%,7.87%,6.38%,9.97%,12.34%,5.04%,3.14%
Other Income+,0.29,1.38,2.48,1.80,2.82,1.82,2.36,3.20,3.40
Interest,0.07,0.28,0.15,0.26,0.15,0.10,0.17,0.14,0.10
Depreciation,0.07,0.20,0.21,0.19,0.27,0.44,0.50,0.54,0.55
Profit before tax,1.05,2.66,3.00,4.27,6.05,9.54,12.84,6.40,4.76
Tax %,26.67%,27.82%,27.67%,27.87%,27.77%,25.47%,25.47%,25.62%,
Net Profit+,0.76,1.92,2.16,3.08,4.38,7.12,9.57,4.75,3.53
EPS in Rs,1.00,1.85,2.08,2.96,4.22,6.13,7.17,3.56,2.64
Dividend Payout %,0.00%,0.00%,0.00%,4.20%,0.00%,0.00%,0.00%,0.00%,
