Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,519,881,"1,308","1,581","1,849","2,505","3,178","3,765","3,680"
Interest,251,382,579,742,788,976,"1,293","1,742","1,828"
Expenses+,374,392,551,783,"1,125","1,234","1,561","2,518","2,962"
Financing Profit,-106,107,177,56,-64,295,324,-496,"-1,110"
Financing Margin %,-20%,12%,14%,4%,-3%,12%,10%,-13%,-30%
Other Income+,43,58,99,125,185,299,400,600,633
Depreciation,0,16,25,30,41,59,65,77,0
Profit before tax,-63,149,250,151,80,536,659,28,-477
Tax %,0%,37%,25%,26%,23%,25%,25%,14%,
Net Profit+,-63,94,187,112,61,404,498,24,-353
EPS in Rs,-0.83,0.79,1.52,0.82,0.42,2.80,2.80,0.13,-1.98
Dividend Payout %,0%,0%,0%,0%,0%,0%,11%,0%,
