Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,416,335,239,244,306,213,187,236,313,799,"1,114",713,648
Expenses+,349,278,168,198,238,174,173,192,269,762,"1,035",692,645
Operating Profit,67,57,71,45,68,39,14,44,44,38,79,20,2
OPM %,16%,17%,30%,19%,22%,18%,7%,19%,14%,5%,7%,3%,0%
Other Income+,4,17,17,12,24,17,35,13,22,30,39,36,40
Interest,16,24,35,22,19,20,25,26,36,28,25,22,22
Depreciation,8,9,10,11,12,10,9,8,8,7,7,6,5
Profit before tax,47,40,43,25,61,26,15,22,22,32,86,28,14
Tax %,31%,29%,32%,35%,28%,41%,0%,61%,11%,60%,45%,-27%,
Net Profit+,33,28,29,13,39,16,15,9,26,13,47,36,22
EPS in Rs,3.39,2.94,3.03,1.36,4.06,1.64,1.58,0.92,2.75,1.34,4.91,3.73,2.33
Dividend Payout %,6%,7%,10%,15%,9%,15%,13%,43%,9%,37%,-0%,11%,
