Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,881","2,172","2,284","3,152","4,077","5,308","6,052"
Expenses+,"1,603","1,888","2,091","2,788","3,518","4,532","5,299"
Operating Profit,278,284,194,364,559,776,753
OPM %,15%,13%,8%,12%,14%,15%,12%
Other Income+,22,19,73,19,56,48,46
Interest,146,138,139,189,246,300,203
Depreciation,32,34,38,46,50,56,58
Profit before tax,121,132,90,148,318,467,537
Tax %,15%,25%,28%,27%,27%,30%,
Net Profit+,102,98,65,108,233,327,381
EPS in Rs,242.83,129.70,28.50,47.18,18.81,24.33,28.66
Dividend Payout %,0%,0%,0%,0%,8%,3%,
