Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,409,549,604,770,"1,177","1,380","1,006","1,005"
Expenses+,385,525,582,723,"1,091","1,274",912,911
Operating Profit,23,24,22,48,86,105,95,94
OPM %,6%,4%,4%,6%,7%,8%,9%,9%
Other Income+,2,8,10,7,8,19,16,17
Interest,4,7,8,10,16,25,37,41
Depreciation,2,5,8,9,12,12,14,14
Profit before tax,19,20,15,36,66,87,60,56
Tax %,27%,31%,29%,28%,28%,15%,20%,
Net Profit+,14,14,11,26,48,74,48,44
EPS in Rs,,,,1.10,2.00,2.34,1.55,1.45
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
