Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,459","2,716","2,955","3,245","3,614","3,890","4,135","4,742","5,427","6,936","7,772","8,681","9,733"
Expenses+,"2,193","2,452","2,598","2,887","3,237","3,490","3,668","4,180","4,835","6,235","6,834","7,703","8,650"
Operating Profit,266,264,357,358,376,400,467,562,592,701,938,979,"1,083"
OPM %,11%,10%,12%,11%,10%,10%,11%,12%,11%,10%,12%,11%,11%
Other Income+,16,45,-38,48,36,21,33,31,23,71,98,117,105
Interest,113,151,148,157,147,139,132,87,69,82,83,88,105
Depreciation,37,47,52,55,50,69,91,108,123,127,153,186,211
Profit before tax,131,111,120,194,216,214,277,398,424,563,801,822,871
Tax %,35%,31%,39%,33%,33%,36%,28%,27%,27%,25%,25%,26%,
Net Profit+,85,76,72,129,144,137,199,289,309,423,598,612,638
EPS in Rs,2.98,2.74,2.70,4.40,4.21,3.96,5.77,8.57,9.14,11.60,17.09,17.43,18.32
Dividend Payout %,8%,7%,6%,3%,4%,4%,9%,12%,11%,9%,9%,17%,
