Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales+,"2,285","2,582","3,124","3,535","3,942","4,648","5,583","6,262","7,178","9,200","10,380","11,974","12,759"
Expenses+,"1,803","2,134","2,579","2,958","3,286","3,911","4,701","5,212","6,042","7,974","8,809","10,139","10,845"
Operating Profit,482,448,545,577,656,736,881,"1,050","1,136","1,226","1,572","1,835","1,914"
OPM %,21%,17%,17%,16%,17%,16%,16%,17%,16%,13%,15%,15%,15%
Other Income+,37,16,9,40,49,58,12,35,67,179,22,75,199
Interest,1,2,1,1,2,3,10,52,38,38,42,71,87
Depreciation,39,44,48,55,63,65,103,232,224,244,284,279,299
Profit before tax,480,418,505,560,641,727,779,800,941,"1,123","1,268","1,560","1,728"
Tax %,21%,23%,22%,25%,22%,20%,18%,22%,20%,21%,21%,25%,
Net Profit+,379,320,393,419,500,583,641,622,749,884,998,"1,174","1,327"
EPS in Rs,12.64,10.64,13.04,13.88,16.83,19.62,21.49,20.69,24.93,29.44,33.22,19.36,21.85
Dividend Payout %,88%,89%,66%,40%,24%,43%,40%,17%,32%,75%,53%,45%,
