Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,775,891,881,780,733,"1,853","4,994","4,674","5,370","6,288","6,282","5,967","5,930"
Expenses+,966,867,876,747,700,"1,806","4,666","4,310","5,112","6,014","5,855","5,429","5,416"
Operating Profit,-191,24,6,32,33,47,328,364,258,273,426,538,514
OPM %,-25%,3%,1%,4%,5%,3%,7%,8%,5%,4%,7%,9%,9%
Other Income+,-18,38,7,13,19,-67,-178,-75,0,-25,-14,-68,-39
Interest,35,26,27,26,25,45,132,98,74,111,141,145,144
Depreciation,40,18,8,7,8,15,92,96,99,107,114,113,114
Profit before tax,-285,18,-22,13,19,-79,-73,96,86,29,156,212,217
Tax %,-1%,16%,55%,18%,22%,-1%,10%,19%,15%,20%,12%,3%,
Net Profit+,-282,15,-35,10,15,-79,-80,78,73,24,138,205,215
EPS in Rs,-19.83,1.04,-2.43,0.73,1.05,-5.30,-5.38,4.80,4.43,1.41,8.19,12.09,12.71
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,
