Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,991","3,936","5,926","9,313","9,454","11,095","13,773","13,107"
Expenses+,"3,932","3,874","5,715","9,012","9,198","10,798","13,468","12,785"
Operating Profit,59,62,212,301,256,297,305,322
OPM %,1%,2%,4%,3%,3%,3%,2%,2%
Other Income+,5,7,4,8,15,25,63,66
Interest,18,10,30,58,90,111,82,98
Depreciation,3,4,4,12,17,19,17,18
Profit before tax,44,54,181,240,165,192,269,272
Tax %,35%,26%,24%,24%,25%,25%,22%,
Net Profit+,29,40,137,183,123,144,210,206
EPS in Rs,,,,,,21.43,31.57,30.80
Dividend Payout %,0%,0%,0%,0%,2%,5%,3%,
