Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,346,410,343,500,402,508,882,"1,052",756,"1,230","1,577","1,676","1,788"
Expenses+,12,16,16,18,70,21,31,32,43,349,55,52,248
Operating Profit,333,394,327,482,332,487,851,"1,020",714,881,"1,522","1,624","1,539"
OPM %,96%,96%,95%,96%,83%,96%,96%,97%,94%,72%,97%,97%,86%
Other Income+,0,0,0,0,0,0,-81,-9,8,8,4,2,2
Interest,243,261,276,226,331,403,519,395,510,973,"1,411","1,312","1,292"
Depreciation,1,1,0,0,0,0,1,2,1,1,15,3,3
Profit before tax,91,133,51,257,1,83,250,614,210,-85,99,311,247
Tax %,32%,33%,33%,35%,-8%,36%,25%,26%,21%,-9%,30%,25%,
Net Profit+,61,88,34,167,1,53,186,454,166,-77,69,233,180
EPS in Rs,3.41,4.90,1.92,9.29,0.08,2.94,10.35,25.23,9.21,-4.29,3.86,12.95,9.98
Dividend Payout %,26%,31%,57%,27%,"1,277%",48%,29%,40%,54%,0%,26%,8%,
