Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,095","1,364","1,614","1,878","2,281","2,861","3,128","2,583","3,701","4,525","4,890","5,483","5,717"
Expenses+,989,"1,236","1,434","1,642","2,064","2,566","2,694","2,394","3,038","3,538","3,722","4,185","4,407"
Operating Profit,106,128,180,236,217,295,434,189,664,987,"1,168","1,298","1,310"
OPM %,10%,9%,11%,13%,10%,10%,14%,7%,18%,22%,24%,24%,23%
Other Income+,39,6,-19,7,18,16,7,21,26,59,73,80,85
Interest,31,45,33,28,55,81,94,82,76,84,112,163,158
Depreciation,57,68,76,80,100,137,186,184,183,210,241,278,302
Profit before tax,57,21,51,135,80,93,161,-56,430,752,888,936,936
Tax %,38%,71%,59%,39%,36%,37%,26%,-75%,20%,19%,11%,16%,
Net Profit+,29,-19,21,83,51,59,119,-14,342,607,790,791,786
EPS in Rs,974.49,-0.84,1.04,4.06,2.51,2.90,5.82,-0.70,16.73,29.67,38.62,38.66,38.43
Dividend Payout %,0%,0%,0%,0%,0%,35%,17%,0%,6%,8%,10%,12%,
