Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,683.00","1,883.00","1,872.00","1,522.00","1,494.00","1,322.00",843.00,872.00,"1,074.00",999.00,"1,052.00","1,020.00","1,034.00"
Expenses+,"1,452.00","1,641.00","1,616.00","1,308.00","1,281.00","1,232.00",812.00,808.00,957.00,892.00,927.00,888.00,905.00
Operating Profit,231.00,242.00,256.00,214.00,213.00,90.00,31.00,64.00,117.00,107.00,125.00,132.00,129.00
OPM %,13.73%,12.85%,13.68%,14.06%,14.26%,6.81%,3.68%,7.34%,10.89%,10.71%,11.88%,12.94%,12.48%
Other Income+,-17.00,-16.00,8.00,30.00,11.00,12.00,24.00,8.00,5.00,-5.00,-24.00,8.00,12.00
Interest,77.00,78.00,89.00,92.00,95.00,94.00,71.00,56.00,62.00,58.00,65.00,50.00,55.00
Depreciation,76.00,78.00,78.00,81.00,85.00,84.00,81.00,78.00,79.00,80.00,79.00,77.00,80.00
Profit before tax,61.00,70.00,97.00,71.00,44.00,-76.00,-97.00,-62.00,-19.00,-36.00,-43.00,13.00,6.00
Tax %,34.43%,32.86%,35.05%,26.76%,27.27%,-22.37%,-15.46%,-22.58%,-26.32%,-33.33%,-6.98%,23.08%,33.33%
Net Profit+,40.00,47.00,63.00,52.00,32.00,-59.00,-82.00,-48.00,-14.00,-24.00,-40.00,10.00,4.00
EPS in Rs,1.10,1.28,1.63,1.35,0.85,-1.43,-2.05,-0.98,-0.29,-0.49,-0.82,0.20,0.08
Raw PDF,,,,,,,,,,,,,
