Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,852.15,876.14,853.80,693.98,770.69,959.25,863.97,831.98,907.27,"1,195.03","1,091.22","1,061.72","1,210.92"
Expenses+,791.18,811.20,792.99,649.62,716.24,894.01,810.44,783.47,855.32,"1,128.54","1,036.55","1,000.68","1,156.66"
Operating Profit,60.97,64.94,60.81,44.36,54.45,65.24,53.53,48.51,51.95,66.49,54.67,61.04,54.26
OPM %,7.15%,7.41%,7.12%,6.39%,7.07%,6.80%,6.20%,5.83%,5.73%,5.56%,5.01%,5.75%,4.48%
Other Income+,-0.36,2.10,1.23,0.09,2.70,1.27,2.70,0.70,-0.90,3.05,5.81,5.16,4.90
Interest,14.82,13.77,10.18,11.10,13.91,14.81,13.66,15.51,18.22,19.50,20.87,20.45,20.20
Depreciation,21.83,21.93,22.72,23.40,24.57,26.22,27.12,28.96,32.35,34.04,35.59,35.86,38.35
Profit before tax,23.96,31.34,29.14,9.95,18.67,25.48,15.45,4.74,0.48,16.00,4.02,9.89,0.61
Tax %,29.59%,17.58%,16.75%,27.04%,-9.80%,27.47%,28.93%,27.43%,31.25%,26.25%,56.72%,25.48%,-147.54%
Net Profit+,16.87,25.83,24.26,7.27,20.50,18.48,10.97,3.45,0.34,11.81,1.75,7.37,1.51
EPS in Rs,4.57,6.54,6.07,1.75,5.00,4.44,2.56,0.77,-0.00,2.75,0.34,1.67,0.29
Raw PDF,,,,,,,,,,,,,
