Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,147","4,540","5,915","7,597","10,069","14,531","15,404","19,382","20,282","21,879","19,923","19,758"
Expenses+,"3,001","4,323","5,688","7,215","9,538","13,757","14,524","18,199","19,035","20,525","18,798","18,777"
Operating Profit,146,217,228,382,531,773,880,"1,183","1,246","1,354","1,125",981
OPM %,5%,5%,4%,5%,5%,5%,6%,6%,6%,6%,6%,5%
Other Income+,123,180,356,331,366,246,808,831,"1,077","1,266","1,095","1,084"
Interest,15,23,35,45,52,41,458,564,581,568,540,510
Depreciation,5,5,5,5,6,20,23,21,22,21,31,33
Profit before tax,248,370,543,664,839,958,"1,207","1,430","1,719","2,030","1,650","1,522"
Tax %,16%,19%,18%,14%,18%,21%,18%,22%,22%,24%,22%,
Net Profit+,337,429,443,570,688,757,992,"1,110","1,342","1,551","1,282","1,192"
EPS in Rs,1.62,2.06,2.13,2.73,3.30,3.63,4.76,5.32,6.44,7.44,6.15,5.72
Dividend Payout %,11%,9%,58%,29%,27%,31%,33%,34%,33%,28%,28%,
